player,class,season,pos,school,conf,g,mp,fg,fga,fgpercent,x2p,x2pa,x3p,x3pa,x3ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,fgpercent_2,x2ppercent,x3ppercent_2,ftpercent_2,player_link,school_link,conf_link,season_link
Aamir Simms,SR,2020-21,F,Clemson,ACC,24,712,124,233,0.532,102,178,22,55,0.4,52,63,0.825,59,95,154,65,21,17,58,69,322,0.532,0.573,0.4,0.825,/cbb/players/aamir-simms-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
PJ Hall,FR,2020-21,F,Clemson,ACC,21,209,30,61,0.492,28,46,2,15,0.133,12,16,0.75,14,28,42,2,4,5,9,28,74,0.492,0.609,0.133,0.75,/cbb/players/pj-hall-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Hunter Tyson,JR,2020-21,F,Clemson,ACC,19,318,47,101,0.465,25,50,22,51,0.431,27,35,0.771,12,67,79,6,9,6,17,28,143,0.465,0.5,0.431,0.771,/cbb/players/tyson-hunter-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Al-Amir Dawes,SO,2020-21,G,Clemson,ACC,24,612,75,178,0.421,32,69,43,109,0.394,23,31,0.742,9,40,49,45,21,4,39,27,216,0.421,0.464,0.394,0.742,/cbb/players/al-amir-dawes-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Clyde Trapp,SR,2020-21,G,Clemson,ACC,24,690,65,155,0.419,45,98,20,57,0.351,24,39,0.615,13,114,127,61,15,9,47,38,174,0.419,0.459,0.351,0.615,/cbb/players/clyde-trapp-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Alex Hemenway,SO,2020-21,G,Clemson,ACC,24,379,36,86,0.419,12,24,24,62,0.387,16,18,0.889,0,31,31,14,9,2,19,33,112,0.419,0.5,0.387,0.889,/cbb/players/alex-hemenway-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Nick Honor,SO,2020-21,G,Clemson,ACC,24,559,69,176,0.392,29,67,40,109,0.367,17,23,0.739,8,22,30,53,32,1,24,34,195,0.392,0.433,0.367,0.739,/cbb/players/nick-honor-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jonathan Baehre,SR,2020-21,F,Clemson,ACC,24,404,36,92,0.391,28,63,8,29,0.276,23,27,0.852,24,57,81,20,9,14,17,32,103,0.391,0.444,0.276,0.852,/cbb/players/jonathan-baehre-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Olivier-Maxence Prosper,FR,2020-21,G,Clemson,ACC,22,213,18,52,0.346,15,34,3,18,0.167,15,22,0.682,18,23,41,6,4,3,8,21,54,0.346,0.441,0.167,0.682,/cbb/players/olivier-maxence-prosper-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
John Newman,JR,2020-21,G,Clemson,ACC,22,344,31,91,0.341,23,59,8,32,0.25,12,13,0.923,11,34,45,24,12,3,24,31,82,0.341,0.39,0.25,0.923,/cbb/players/john-newmaniii-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Chase Hunter,SO,2020-21,G,Clemson,ACC,24,339,28,90,0.311,23,55,5,35,0.143,8,12,0.667,6,23,29,22,10,3,19,27,69,0.311,0.418,0.143,0.667,/cbb/players/chase-hunter-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
